Sort,Variable Name,Variable Description,Variable Type,Variable Width,Decimal Places
1,ID,ID (Zip5),Text,5,0
2,NAME,Name,Text,80,0
3,ST_ABBREV,State Abbreviation,Text,2,0
4,EDUCBASECY,2014 Pop 25+ by Educ Base,Integer,9,0
5,NOHS_CY,2014 Pop 25+/Educ: <9th Grade,Integer,9,0
6,SOMEHS_CY,2014 Pop 25+/Educ: Some High School,Integer,9,0
7,HSGRAD_CY,2014 Pop 25+/Educ: HS Diploma,Integer,9,0
8,GED_CY,2014 Pop 25+/Educ: GED,Integer,9,0
9,SMCOLL_CY,2014 Pop 25+/Educ: Some College,Integer,9,0
10,ASSCDEG_CY,2014 Pop 25+/Educ: Associates Degree,Integer,9,0
11,BACHDEG_CY,2014 Pop 25+/Educ: Bachelor's Degree,Integer,9,0
12,GRADDEG_CY,2014 Pop 25+/Educ: Graduate Degree,Integer,9,0
